Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,터키항공,17:55CDG,17:40ICN,+1일,"경유 1, 16시간 45분",성인/모든 결제수단,"편도 2,396,700원~"
2023-06-01,터키항공,16:10CDG,17:40ICN,+1일,"경유 1, 18시간 30분",성인/KB국민카드,"편도 2,430,300원~"
2023-06-01,터키항공,14:10CDG,17:40ICN,+1일,"경유 1, 20시간 30분",성인/현대카드,"편도 2,519,900원~"
2023-06-01,터키항공,11:05CDG,17:40ICN,+1일,"경유 1, 23시간 35분",성인/현대카드,"편도 2,519,900원~"
2023-06-01,터키항공,12:00CDG,09:25ICN,+1일,"경유 1, 14시간 25분",성인/모든 결제수단,"편도 2,866,700원~"
2023-06-01,터키항공,19:55CDG,17:40ICN,+1일,"경유 1, 14시간 45분",성인/모든 결제수단,"편도 2,866,700원~"
2023-06-01,루프트한자,11:35CDG,09:45ICN,+1일,"경유 1, 15시간 10분",성인/KB국민카드,"편도 2,943,900원~"
2023-06-01,루프트한자,19:35CDG,09:45ICN,+2일,"경유 1, 31시간 10분",성인/KB국민카드,"편도 2,964,200원~"
2023-06-01,루프트한자에어돌로미티 공동운항,09:35ORY,09:45ICN,+1일,"경유 2, 17시간 10분",성인/KB국민카드,"편도 2,966,200원~"
2023-06-01,루프트한자,20:35CDG,09:45ICN,+2일,"경유 2, 30시간 10분",성인/KB국민카드,"편도 2,978,300원~"
2023-06-01,루프트한자,20:35CDG,09:45ICN,+2일,"경유 2, 30시간 10분",성인/KB국민카드,"편도 2,978,300원~"
2023-06-01,루프트한자,10:30CDG,09:45ICN,+1일,"경유 1, 16시간 15분",성인/모든 결제수단,"편도 3,010,206원~"
2023-06-01,터키항공,11:05CDG,09:25ICN,+1일,"경유 1, 15시간 20분",성인/모든 결제수단,"편도 3,008,400원~"
2023-06-01,터키항공,07:30CDG,17:40ICN,+1일,"경유 1, 27시간 10분",성인/모든 결제수단,"편도 3,008,400원~"
2023-06-01,터키항공,12:00CDG,17:40ICN,+1일,"경유 1, 22시간 40분",성인/모든 결제수단,"편도 3,008,400원~"
2023-06-01,터키항공,17:55CDG,09:25ICN,+2일,"경유 1, 32시간 30분",성인/모든 결제수단,"편도 3,008,400원~"
2023-06-01,터키항공,14:10CDG,09:25ICN,+2일,"경유 1, 36시간 15분",성인/모든 결제수단,"편도 3,008,400원~"
2023-06-01,루프트한자,10:30CDG,09:45ICN,+1일,"경유 1, 16시간 15분",성인/모든 결제수단,"편도 3,009,900원~"
2023-06-01,루프트한자,09:35CDG,09:45ICN,+1일,"경유 1, 17시간 10분",성인/모든 결제수단,"편도 3,009,900원~"
2023-06-01,루프트한자,06:00CDG,09:45ICN,+1일,"경유 1, 20시간 45분",성인/모든 결제수단,"편도 3,009,900원~"
2023-06-01,핀에어,10:50CDG,11:20ICN,+1일,"경유 1, 17시간 30분",성인/모든 결제수단,"편도 3,017,100원~"
2023-06-01,핀에어,19:00CDG,11:20ICN,+2일,"경유 1, 33시간 20분",성인/모든 결제수단,"편도 3,017,100원~"
2023-06-01,루프트한자,18:15CDG,09:45ICN,+2일,"경유 1, 32시간 30분",성인/모든 결제수단,"편도 3,030,200원~"
2023-06-01,루프트한자돌로미티항공 공동운항,19:15ORY,09:45ICN,+2일,"경유 2, 31시간 30분",성인/모든 결제수단,"편도 3,071,600원~"
2023-06-01,루프트한자돌로미티항공 공동운항,19:15ORY,09:45ICN,+2일,"경유 2, 31시간 30분",성인/모든 결제수단,"편도 3,071,600원~"
2023-06-01,루프트한자,20:35CDG,09:45ICN,+2일,"경유 2, 30시간 10분",성인/모든 결제수단,"편도 3,073,300원~"
2023-06-01,아시아나항공,20:05CDG,15:05ICN,+1일,"직항, 12시간 00분",성인/KB국민카드,"편도 3,288,700원~"
2023-06-01,여러항공사,16:45CDG,16:45ICN,+1일,"경유 1, 17시간 00분",성인/모든 결제수단,"편도 3,390,500원~"
2023-06-01,여러항공사Hop 공동운항,10:00CDG,13:15ICN,+1일,"경유 1, 20시간 15분",성인/모든 결제수단,"편도 3,545,100원~"
2023-06-01,여러항공사Hop 공동운항,07:40CDG,13:15ICN,+1일,"경유 1, 22시간 35분",성인/모든 결제수단,"편도 3,576,300원~"
2023-06-01,터키항공,19:55CDG,09:25ICN,+2일,"경유 1, 30시간 30분",성인/모든 결제수단,"편도 3,639,200원~"
2023-06-01,터키항공,07:30CDG,09:25ICN,+1일,"경유 1, 18시간 55분",성인/모든 결제수단,"편도 3,639,200원~"
2023-06-01,여러항공사,13:15ORY,16:45ICN,+1일,"경유 1, 20시간 30분",성인/모든 결제수단,"편도 3,654,400원~"
2023-06-01,루프트한자돌로미티항공 공동운항,09:35ORY,09:55ICN,+1일,"경유 1, 17시간 20분",성인/모든 결제수단,"편도 3,778,500원~"
2023-06-01,루프트한자,06:45CDG,09:55ICN,+1일,"경유 1, 20시간 10분",성인/모든 결제수단,"편도 3,780,200원~"
2023-06-01,루프트한자,12:10CDG,09:55ICN,+1일,"경유 1, 14시간 45분",성인/모든 결제수단,"편도 3,780,200원~"
2023-06-01,루프트한자,09:00CDG,09:55ICN,+1일,"경유 1, 17시간 55분",성인/모든 결제수단,"편도 3,780,200원~"
2023-06-01,루프트한자돌로미티항공 공동운항,19:15ORY,09:55ICN,+2일,"경유 1, 31시간 40분",성인/모든 결제수단,"편도 3,789,400원~"
2023-06-01,루프트한자,20:35CDG,09:55ICN,+2일,"경유 1, 30시간 20분",성인/모든 결제수단,"편도 3,791,100원~"
2023-06-01,루프트한자,14:35CDG,09:55ICN,+2일,"경유 1, 36시간 20분",성인/모든 결제수단,"편도 3,791,100원~"
2023-06-01,여러항공사,09:35ORY,09:55ICN,+1일,"경유 1, 17시간 20분",성인/KB국민카드,"편도 3,793,300원~"
2023-06-01,베트남항공에어프랑스 공동운항,12:55CDG,16:25ICN,+1일,"경유 1, 20시간 30분",성인/KB국민카드,"편도 3,827,300원~"
2023-06-01,베트남항공,14:00CDG,16:35ICN,+1일,"경유 1, 19시간 35분",성인/KB국민카드,"편도 3,831,700원~"
2023-06-01,에바항공,11:20CDG,11:00ICN,+1일,"경유 1, 16시간 40분",성인/모든 결제수단,"편도 3,834,600원~"
2023-06-01,루프트한자,06:00CDG,09:55ICN,+1일,"경유 2, 20시간 55분",성인/모든 결제수단,"편도 3,851,500원~"
2023-06-01,오스트리아항공아시아나항공 공동운항,20:15CDG,08:55ICN,+2일,"경유 2, 29시간 40분",성인/모든 결제수단,"편도 3,855,000원~"
2023-06-01,오스트리아항공아시아나항공 공동운항,15:55CDG,08:55ICN,+2일,"경유 2, 34시간 00분",성인/모든 결제수단,"편도 3,855,000원~"
2023-06-01,오스트리아항공아시아나항공 공동운항,07:05CDG,08:55ICN,+2일,"경유 2, 42시간 50분",성인/모든 결제수단,"편도 3,855,000원~"
2023-06-01,오스트리아항공아시아나항공 공동운항,17:55CDG,08:55ICN,+2일,"경유 2, 32시간 00분",성인/모든 결제수단,"편도 3,855,000원~"
2023-06-01,오스트리아항공아시아나항공 공동운항,10:00CDG,08:55ICN,+2일,"경유 2, 39시간 55분",성인/모든 결제수단,"편도 3,855,000원~"
2023-06-01,루프트한자,19:35CDG,09:55ICN,+2일,"경유 2, 31시간 20분",성인/모든 결제수단,"편도 3,860,500원~"
2023-06-01,여러항공사,19:15ORY,09:55ICN,+2일,"경유 1, 31시간 40분",성인/모든 결제수단,"편도 3,862,300원~"
2023-06-01,베트남항공,14:00CDG,06:40ICN,+2일,"경유 2, 33시간 40분",성인/KB국민카드,"편도 3,864,300원~"
2023-06-01,베트남항공에어프랑스 공동운항,12:55CDG,05:50ICN,+2일,"경유 2, 33시간 55분",성인/KB국민카드,"편도 3,874,600원~"
2023-06-01,베트남항공에어프랑스 공동운항,12:55CDG,06:40ICN,+2일,"경유 1, 34시간 45분",성인/하나카드,"편도 3,917,300원~"
2023-06-01,베트남항공,14:00CDG,05:50ICN,+2일,"경유 1, 32시간 50분",성인/하나카드,"편도 3,921,700원~"
2023-06-01,타이항공,13:40CDG,15:25ICN,+1일,"경유 1, 18시간 45분",성인/KB국민카드,"편도 3,923,800원~"
2023-06-01,루프트한자,19:35CDG,09:55ICN,+2일,"경유 2, 31시간 20분",성인/모든 결제수단,"편도 3,945,200원~"
2023-06-01,베트남항공에어프랑스 공동운항,12:55CDG,05:50ICN,+2일,"경유 2, 33시간 55분",성인/모든 결제수단,"편도 3,969,600원~"
