Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,폴란드항공,11:20ICN,09:55CDG,+1일,"경유 1, 29시간 35분",성인/롯데카드,"편도 1,686,300원~"
2023-06-01,폴란드항공,11:20ICN,18:55CDG,+1일,"경유 1, 38시간 35분",성인/롯데카드,"편도 1,686,300원~"
2023-06-01,여러항공사,08:20ICN,19:25CDG,"경유 1, 18시간 05분",,성인/롯데카드,"편도 1,842,900원~"
2023-06-01,루프트한자,11:40ICN,23:25CDG,"경유 1, 18시간 45분",,성인/롯데카드,"편도 1,878,100원~"
2023-06-01,루프트한자,12:20ICN,22:55CDG,"경유 1, 17시간 35분",,성인/롯데카드,"편도 1,889,800원~"
2023-06-01,루프트한자,12:20ICN,21:25CDG,"경유 1, 16시간 05분",,성인/롯데카드,"편도 1,889,800원~"
2023-06-01,루프트한자공동운항 정보확인필요,11:40ICN,08:55ORY,+1일,"경유 1, 28시간 15분",성인/롯데카드,"편도 1,907,100원~"
2023-06-01,루프트한자공동운항 정보확인필요,11:40ICN,18:35ORY,+1일,"경유 1, 37시간 55분",성인/롯데카드,"편도 1,907,100원~"
2023-06-01,루프트한자,11:40ICN,13:50CDG,+1일,"경유 1, 33시간 10분",성인/롯데카드,"편도 1,907,100원~"
2023-06-01,루프트한자,11:40ICN,08:15CDG,+1일,"경유 1, 27시간 35분",성인/롯데카드,"편도 1,907,100원~"
2023-06-01,루프트한자,11:40ICN,11:25CDG,+1일,"경유 1, 30시간 45분",성인/롯데카드,"편도 1,907,100원~"
2023-06-01,루프트한자,12:20ICN,18:35CDG,+1일,"경유 1, 37시간 15분",성인/롯데카드,"편도 1,917,400원~"
2023-06-01,루프트한자,12:20ICN,09:45CDG,+1일,"경유 1, 28시간 25분",성인/롯데카드,"편도 1,917,400원~"
2023-06-01,루프트한자,12:20ICN,08:20CDG,+1일,"경유 1, 27시간 00분",성인/롯데카드,"편도 1,917,400원~"
2023-06-01,루프트한자,12:20ICN,10:45CDG,+1일,"경유 1, 29시간 25분",성인/롯데카드,"편도 1,917,400원~"
2023-06-01,루프트한자,12:20ICN,13:35CDG,+1일,"경유 1, 32시간 15분",성인/롯데카드,"편도 1,917,400원~"
2023-06-01,폴란드항공,11:20ICN,22:45CDG,"경유 1, 18시간 25분",,성인/롯데카드,"편도 2,445,500원~"
2023-06-01,여러항공사,10:55ICN,07:00CDG,+1일,"경유 1, 27시간 05분",성인/모든 결제수단,"편도 2,638,800원~"
2023-06-01,여러항공사,10:35ICN,07:00CDG,+1일,"경유 1, 27시간 25분",성인/모든 결제수단,"편도 2,770,400원~"
2023-06-01,여러항공사공동운항 정보확인필요,11:20ICN,22:15CDG,"경유 1, 17시간 55분",,성인/모든 결제수단,"편도 4,244,300원~"
2023-06-01,여러항공사,08:15ICN,21:25CDG,"경유 1, 20시간 10분",,성인/롯데카드,"편도 4,430,400원~"
2023-06-01,여러항공사공동운항 정보확인필요,12:20ICN,21:20CDG,"경유 1, 16시간 00분",,성인/롯데카드,"편도 5,488,900원~"
2023-06-01,여러항공사,14:20ICN,08:20CDG,+1일,"경유 1, 25시간 00분",성인/모든 결제수단,"편도 6,557,700원~"
2023-06-01,여러항공사,10:00ICN,08:20CDG,+1일,"경유 1, 29시간 20분",성인/모든 결제수단,"편도 6,588,300원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,19:50CDG,+1일,"경유 2, 35시간 00분",성인/롯데카드,"편도 6,610,200원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,19:50CDG,+1일,"경유 2, 41시간 50분",성인/롯데카드,"편도 6,610,200원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,13:50CDG,+1일,"경유 2, 29시간 00분",성인/롯데카드,"편도 6,610,200원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,11:25CDG,+1일,"경유 2, 26시간 35분",성인/롯데카드,"편도 6,610,200원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,11:25CDG,+1일,"경유 2, 33시간 25분",성인/롯데카드,"편도 6,610,200원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,13:50CDG,+1일,"경유 2, 35시간 50분",성인/롯데카드,"편도 6,610,200원~"
2023-06-01,여러항공사에바항공 공동운항,12:00ICN,08:20CDG,+1일,"경유 1, 27시간 20분",성인/모든 결제수단,"편도 6,611,100원~"
2023-06-01,여러항공사에바항공 공동운항,19:45ICN,08:20CDG,+1일,"경유 1, 19시간 35분",성인/모든 결제수단,"편도 6,611,100원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,15:50ICN,23:25CDG,+1일,"경유 2, 38시간 35분",성인/롯데카드,"편도 6,628,800원~"
2023-06-01,에바항공아시아나항공 공동운항,10:00ICN,08:20CDG,+1일,"경유 1, 29시간 20분",성인/모든 결제수단,"편도 6,844,900원~"
2023-06-01,여러항공사아시아나항공 등 공동운항,09:00ICN,23:25CDG,+1일,"경유 2, 45시간 25분",성인/모든 결제수단,"편도 7,021,700원~"
2023-06-01,유나이티드항공,16:35ICN,10:25CDG,+1일,"경유 1, 24시간 50분",성인/삼성 iD PET 카드,"편도 8,779,500원~"
2023-06-02,루프트한자,12:20ICN,21:25CDG,"경유 1, 16시간 05분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,857,700원~"
2023-06-02,루프트한자,12:20ICN,22:55CDG,"경유 1, 17시간 35분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,857,700원~"
2023-06-02,루프트한자,12:20ICN,08:20CDG,+1일,"경유 1, 27시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,885,300원~"
2023-06-02,루프트한자,12:20ICN,09:45CDG,+1일,"경유 1, 28시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,885,300원~"
2023-06-02,루프트한자,12:20ICN,10:45CDG,+1일,"경유 1, 29시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,885,300원~"
2023-06-02,루프트한자,12:20ICN,13:35CDG,+1일,"경유 1, 32시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,885,300원~"
2023-06-02,루프트한자,12:20ICN,17:30CDG,+1일,"경유 1, 36시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,885,300원~"
2023-06-02,에어프랑스,09:05ICN,16:10CDG,"직항, 14시간 05분",,성인/삼성 iD PET 카드,"편도 1,932,000원~"
2023-06-02,폴란드항공,11:20ICN,09:55CDG,+1일,"경유 1, 29시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 2,366,600원~"
2023-06-02,폴란드항공,11:20ICN,18:55CDG,+1일,"경유 1, 38시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 2,366,600원~"
2023-06-02,여러항공사,10:25ICN,08:45CDG,+1일,"경유 1, 29시간 20분",성인/모든 결제수단,"편도 2,493,200원~"
2023-06-02,여러항공사,10:35ICN,07:00CDG,+1일,"경유 1, 27시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 2,626,700원~"
