Date,Airline,Departure,Arrival,Day,Payment,Price,Departure_Time,Arrival_Time,Through,Time,Seat
2023-06-01,폴란드항공,ICN,CDG,+1일,성인/롯데카드,813300,11:20,09:55,경유 1, 29시간 35분,일반
2023-06-01,폴란드항공,ICN,CDG,+1일,성인/롯데카드,813300,11:20,18:55,경유 1, 38시간 35분,일반
2023-06-01,에어인디아,ICN,CDG,+1일,성인/모든 결제수단,1003900,12:05,18:30,경유 1, 37시간 25분,일반
2023-06-01,에티오피아항공,ICN,CDG,+1일,성인/KB국민카드,1021400,00:25,06:25,경유 1, 37시간 00분,일반
2023-06-01,에티하드항공,ICN,CDG,+1일,성인/하나카드,1080300,17:55,07:45,경유 1, 20시간 50분,일반
2023-06-01,타이항공,ICN,CDG,+1일,성인/KB국민카드,1090000,17:30,07:10,경유 1, 20시간 40분,일반
2023-06-01,타이항공,ICN,CDG,+1일,성인/KB국민카드,1090000,10:20,07:10,경유 1, 27시간 50분,일반
2023-06-01,타이항공,ICN,CDG,+1일,성인/KB국민카드,1090000,09:35,07:10,경유 1, 28시간 35분,일반
2023-06-01,루프트한자,ICN,CDG,+1일,성인/롯데카드,1181100,12:20,08:20,경유 1, 27시간 00분,일반
2023-06-01,네덜란드항공,ICN,CDG,+1일,성인/삼성카드,1202600,22:50,07:55,경유 1, 16시간 05분,일반
2023-06-01,네덜란드항공,ICN,CDG,+1일,성인/삼성카드,1202600,22:50,08:40,경유 1, 16시간 50분,일반
2023-06-01,네덜란드항공에어프랑스 공동운항,ICN,CDG,+1일,성인/삼성카드,1202600,22:50,10:50,경유 1, 19시간 00분,일반
2023-06-01,네덜란드항공에어프랑스 공동운항,ICN,CDG,+1일,성인/삼성카드,1202600,22:50,15:25,경유 1, 23시간 35분,일반
2023-06-01,에티하드항공공동운항 정보확인필요,ICN,CDG,+1일,성인/모든 결제수단,1210500,17:55,23:40,경유 2, 36시간 45분,일반
2023-06-01,에어프랑스네덜란드항공 공동운항,ICN,CDG,+1일,성인/롯데카드,1353000,22:50,15:25,경유 1, 23시간 35분,일반
2023-06-01,에어프랑스네덜란드항공 공동운항,ICN,CDG,+1일,성인/롯데카드,1353000,22:50,10:50,경유 1, 19시간 00분,일반
2023-06-01,에어프랑스네덜란드항공 공동운항,ICN,CDG,+1일,성인/롯데카드,1353000,22:50,08:40,경유 1, 16시간 50분,일반
2023-06-01,에어프랑스네덜란드항공 공동운항,ICN,CDG,+1일,성인/롯데카드,1353000,22:50,07:55,경유 1, 16시간 05분,일반
2023-06-01,에티하드항공공동운항 정보확인필요,ICN,CDG,+1일,성인/모든 결제수단,1377200,17:55,17:20,경유 2, 30시간 25분,일반
2023-06-01,네덜란드항공,ICN,CDG,+1일,성인/삼성카드,1402000,22:50,09:25,경유 1, 17시간 35분,일반
2023-06-01,네덜란드항공,ICN,CDG,+1일,성인/삼성카드,1402000,22:50,17:45,경유 1, 25시간 55분,일반
2023-06-01,네덜란드항공,ICN,CDG,+1일,성인/삼성카드,1402000,22:50,19:05,경유 1, 27시간 15분,일반
2023-06-01,네덜란드항공,ICN,CDG,+1일,성인/삼성카드,1402000,22:50,13:40,경유 1, 21시간 50분,일반
