Date,Airline,Departure,Arrival,Day,Payment,Price,Through,Time,Departure_Time,Arrival_Time
2023-06-01,에어인디아,CDG,ICN,+2일,성인/모든 결제수단,614000,경유 1, 31시간 05분,20:25,10:30
2023-06-01,중국동방항공,CDG,GMP,+2일,성인/모든 결제수단,858800,경유 1, 30시간 10분,21:50,11:00
2023-06-01,중국동방항공,CDG,ICN,+2일,성인/모든 결제수단,858800,경유 1, 31시간 05분,21:50,11:55
2023-06-01,중국동방항공,CDG,ICN,+2일,성인/모든 결제수단,858800,경유 1, 34시간 30분,21:50,15:20
2023-06-01,폴란드항공,CDG,ICN,+2일,성인/모든 결제수단,912200,경유 1, 36시간 35분,10:45,06:20
2023-06-01,에티하드항공,CDG,ICN,+1일,성인/모든 결제수단,924600,경유 1, 18시간 15분,10:25,11:40
2023-06-01,카타르항공,CDG,ICN,+1일,성인/모든 결제수단,986700,경유 1, 17시간 50분,16:05,16:55
2023-06-01,카타르항공,CDG,ICN,+1일,성인/모든 결제수단,986700,경유 1, 24시간 50분,09:05,16:55
2023-06-01,캐세이퍼시픽항공,CDG,ICN,+1일,성인/모든 결제수단,1047600,경유 1, 23시간 30분,12:45,19:15
2023-06-01,캐세이퍼시픽항공,CDG,ICN,+1일,성인/모든 결제수단,1047600,경유 1, 25시간 30분,12:45,21:15
2023-06-01,타이항공,CDG,ICN,+1일,성인/모든 결제수단,1049600,경유 1, 18시간 45분,13:40,15:25
2023-06-01,핀에어,CDG,ICN,+2일,성인/모든 결제수단,1057100,경유 1, 33시간 20분,19:00,11:20
2023-06-01,에어인디아아시아나항공 공동운항,CDG,ICN,+2일,성인/모든 결제수단,1063400,경유 1, 26시간 05분,20:25,05:30
2023-06-01,타이항공,CDG,ICN,+2일,성인/모든 결제수단,1078800,경유 1, 34시간 15분,13:40,06:55
2023-06-01,타이항공,CDG,ICN,+2일,성인/모든 결제수단,1078800,경유 1, 33시간 55분,13:40,06:35
2023-06-01,핀에어,CDG,ICN,+1일,성인/모든 결제수단,1150900,경유 1, 17시간 30분,10:50,11:20
2023-06-01,네덜란드항공,CDG,ICN,+2일,성인/모든 결제수단,1155400,경유 1, 34시간 35분,18:35,12:10
2023-06-01,네덜란드항공,CDG,ICN,+2일,성인/모든 결제수단,1155400,경유 1, 32시간 55분,20:15,12:10
2023-06-01,여러항공사공동운항 정보확인필요,CDG,ICN,+1일,성인/모든 결제수단,1173400,경유 1, 22시간 35분,07:40,13:15
2023-06-01,여러항공사공동운항 정보확인필요,CDG,ICN,+1일,성인/모든 결제수단,1173400,경유 1, 20시간 15분,10:00,13:15
2023-06-01,에어프랑스,CDG,ICN,+1일,성인/모든 결제수단,1184400,직항, 12시간 15분,11:50,07:05
2023-06-01,여러항공사,CDG,ICN,+1일,성인/모든 결제수단,1220000,경유 1, 15시간 20분,17:50,16:10
2023-06-01,여러항공사,CDG,ICN,+1일,성인/모든 결제수단,1221200,경유 1, 18시간 40분,14:30,16:10
2023-06-01,여러항공사,CDG,ICN,+1일,성인/모든 결제수단,1221200,경유 1, 14시간 35분,18:35,16:10
2023-06-01,여러항공사공동운항 정보확인필요,CDG,ICN,+1일,성인/모든 결제수단,1242600,경유 1, 14시간 40분,16:30,14:10
2023-06-01,에바항공,CDG,ICN,+1일,성인/모든 결제수단,1272500,경유 1, 16시간 40분,11:20,11:00
2023-06-01,에바항공,CDG,ICN,+1일,성인/모든 결제수단,1272500,경유 1, 24시간 25분,11:20,18:45
2023-06-01,대한항공,CDG,ICN,+1일,성인/모든 결제수단,1273400,직항, 11시간 45분,21:00,15:45
2023-06-01,대한항공에어프랑스 공동운항,CDG,ICN,+1일,성인/모든 결제수단,1507600,직항, 12시간 15분,11:50,07:05
2023-06-01,아시아나항공,CDG,ICN,+1일,성인/모든 결제수단,1508100,직항, 12시간 00분,20:05,15:05
