Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,에어인디아,20:25CDG,10:30ICN,+2일,"경유 1, 31시간 05분",성인/모든 결제수단,"편도 614,000원~"
2023-06-01,중국동방항공,21:50CDG,11:00GMP,+2일,"경유 1, 30시간 10분",성인/모든 결제수단,"편도 858,800원~"
2023-06-01,중국동방항공,21:50CDG,11:55ICN,+2일,"경유 1, 31시간 05분",성인/모든 결제수단,"편도 858,800원~"
2023-06-01,중국동방항공,21:50CDG,15:20ICN,+2일,"경유 1, 34시간 30분",성인/모든 결제수단,"편도 858,800원~"
2023-06-01,폴란드항공,10:45CDG,06:20ICN,+2일,"경유 1, 36시간 35분",성인/모든 결제수단,"편도 912,200원~"
2023-06-01,에티하드항공,10:25CDG,11:40ICN,+1일,"경유 1, 18시간 15분",성인/모든 결제수단,"편도 924,600원~"
2023-06-01,카타르항공,16:05CDG,16:55ICN,+1일,"경유 1, 17시간 50분",성인/모든 결제수단,"편도 986,700원~"
2023-06-01,카타르항공,09:05CDG,16:55ICN,+1일,"경유 1, 24시간 50분",성인/모든 결제수단,"편도 986,700원~"
2023-06-01,캐세이퍼시픽항공,12:45CDG,19:15ICN,+1일,"경유 1, 23시간 30분",성인/모든 결제수단,"편도 1,047,600원~"
2023-06-01,캐세이퍼시픽항공,12:45CDG,21:15ICN,+1일,"경유 1, 25시간 30분",성인/모든 결제수단,"편도 1,047,600원~"
2023-06-01,타이항공,13:40CDG,15:25ICN,+1일,"경유 1, 18시간 45분",성인/모든 결제수단,"편도 1,049,600원~"
2023-06-01,핀에어,19:00CDG,11:20ICN,+2일,"경유 1, 33시간 20분",성인/모든 결제수단,"편도 1,057,100원~"
2023-06-01,에어인디아아시아나항공 공동운항,20:25CDG,05:30ICN,+2일,"경유 1, 26시간 05분",성인/모든 결제수단,"편도 1,063,400원~"
2023-06-01,타이항공,13:40CDG,06:55ICN,+2일,"경유 1, 34시간 15분",성인/모든 결제수단,"편도 1,078,800원~"
2023-06-01,타이항공,13:40CDG,06:35ICN,+2일,"경유 1, 33시간 55분",성인/모든 결제수단,"편도 1,078,800원~"
2023-06-01,핀에어,10:50CDG,11:20ICN,+1일,"경유 1, 17시간 30분",성인/모든 결제수단,"편도 1,150,900원~"
2023-06-01,네덜란드항공,18:35CDG,12:10ICN,+2일,"경유 1, 34시간 35분",성인/모든 결제수단,"편도 1,155,400원~"
2023-06-01,네덜란드항공,20:15CDG,12:10ICN,+2일,"경유 1, 32시간 55분",성인/모든 결제수단,"편도 1,155,400원~"
2023-06-01,여러항공사공동운항 정보확인필요,07:40CDG,13:15ICN,+1일,"경유 1, 22시간 35분",성인/모든 결제수단,"편도 1,173,400원~"
2023-06-01,여러항공사공동운항 정보확인필요,10:00CDG,13:15ICN,+1일,"경유 1, 20시간 15분",성인/모든 결제수단,"편도 1,173,400원~"
2023-06-01,에어프랑스,11:50CDG,07:05ICN,+1일,"직항, 12시간 15분",성인/모든 결제수단,"편도 1,184,400원~"
2023-06-01,여러항공사,17:50CDG,16:10ICN,+1일,"경유 1, 15시간 20분",성인/모든 결제수단,"편도 1,220,000원~"
2023-06-01,여러항공사,14:30CDG,16:10ICN,+1일,"경유 1, 18시간 40분",성인/모든 결제수단,"편도 1,221,200원~"
2023-06-01,여러항공사,18:35CDG,16:10ICN,+1일,"경유 1, 14시간 35분",성인/모든 결제수단,"편도 1,221,200원~"
2023-06-01,여러항공사공동운항 정보확인필요,16:30CDG,14:10ICN,+1일,"경유 1, 14시간 40분",성인/모든 결제수단,"편도 1,242,600원~"
2023-06-01,에바항공,11:20CDG,11:00ICN,+1일,"경유 1, 16시간 40분",성인/모든 결제수단,"편도 1,272,500원~"
