Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,에미레이트항공,11:25CDG,17:00ICN,+1일,"경유 1, 22시간 35분",성인/모든 결제수단,"편도 6,136,900원~"
2023-06-01,에미레이트항공,15:35CDG,17:00ICN,+1일,"경유 1, 18시간 25분",성인/모든 결제수단,"편도 6,136,900원~"
2023-06-01,에미레이트항공,21:55CDG,17:00ICN,+2일,"경유 1, 36시간 05분",성인/모든 결제수단,"편도 6,136,900원~"
2023-06-01,대한항공,21:00CDG,15:45ICN,+1일,"직항, 11시간 45분",성인/모든 결제수단,"편도 10,793,200원~"
2023-06-02,에미레이트항공,21:55CDG,17:00ICN,+2일,"경유 1, 36시간 05분",성인/모든 결제수단,"편도 6,089,300원~"
2023-06-02,에미레이트항공,11:25CDG,17:00ICN,+1일,"경유 1, 22시간 35분",성인/모든 결제수단,"편도 6,089,300원~"
2023-06-02,에미레이트항공,15:35CDG,17:00ICN,+1일,"경유 1, 18시간 25분",성인/모든 결제수단,"편도 6,089,300원~"
2023-06-02,대한항공,21:00CDG,15:45ICN,+1일,"직항, 11시간 45분",성인/모든 결제수단,"편도 10,793,200원~"
2023-06-02,여러항공사공동운항 정보확인필요,16:30CDG,14:10ICN,+1일,"경유 1, 14시간 40분",성인/모든 결제수단,"편도 10,905,200원~"
2023-06-02,여러항공사공동운항 정보확인필요,07:40CDG,14:10ICN,+1일,"경유 1, 23시간 30분",성인/모든 결제수단,"편도 10,905,200원~"
2023-06-02,여러항공사공동운항 정보확인필요,10:00CDG,14:10ICN,+1일,"경유 1, 21시간 10분",성인/모든 결제수단,"편도 10,945,200원~"
2023-06-02,싱가폴항공,12:00CDG,15:35ICN,+1일,"경유 1, 20시간 35분",성인/모든 결제수단,"편도 13,154,000원~"
2023-06-02,싱가폴항공,12:00CDG,07:45ICN,+2일,"경유 1, 36시간 45분",성인/모든 결제수단,"편도 13,154,000원~"
2023-06-02,싱가폴항공,12:00CDG,22:15ICN,+1일,"경유 1, 27시간 15분",성인/모든 결제수단,"편도 13,154,000원~"
