Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,싱가포르항공스쿠트항공 공동운항,22:40CDG,10:50ICN,+2일,"경유 1, 29시간 10분",성인/KB국민카드,"편도 2,650,400원~"
2023-06-01,캐세이퍼시픽항공,12:45CDG,12:35ICN,+1일,"경유 1, 16시간 50분",성인/KB국민카드,"편도 2,729,300원~"
2023-06-01,캐세이퍼시픽항공,12:45CDG,19:15ICN,+1일,"경유 1, 23시간 30분",성인/KB국민카드,"편도 2,729,300원~"
2023-06-01,캐세이퍼시픽항공,12:45CDG,21:15ICN,+1일,"경유 1, 25시간 30분",성인/KB국민카드,"편도 2,729,300원~"
2023-06-01,에어프랑스,11:50CDG,07:05ICN,+1일,"직항, 12시간 15분",성인/KB국민카드,"편도 2,964,100원~"
2023-06-01,싱가포르항공스쿠트항공 공동운항,12:00CDG,21:35ICN,+1일,"경유 2, 26시간 35분",성인/KB국민카드,"편도 3,328,400원~"
2023-06-01,유나이티드항공,13:10CDG,04:20ICN,+2일,"경유 2, 32시간 10분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,09:45CDG,04:20ICN,+2일,"경유 2, 35시간 35분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,09:45CDG,04:20ICN,+2일,"경유 2, 35시간 35분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,09:45CDG,04:20ICN,+2일,"경유 2, 35시간 35분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,09:15CDG,04:20ICN,+2일,"경유 1, 36시간 05분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,13:10CDG,14:45ICN,+2일,"경유 2, 42시간 35분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,09:15CDG,14:45ICN,+2일,"경유 1, 46시간 30분",성인/KB국민카드,"편도 8,698,000원~"
2023-06-01,유나이티드항공,13:10CDG,14:45ICN,+2일,"경유 2, 42시간 35분",성인/KB국민카드,"편도 8,705,600원~"
2023-06-01,유나이티드항공,09:45CDG,14:45ICN,+2일,"경유 2, 46시간 00분",성인/KB국민카드,"편도 8,705,600원~"
2023-06-01,유나이티드항공,09:45CDG,14:45ICN,+2일,"경유 2, 46시간 00분",성인/KB국민카드,"편도 8,705,600원~"
2023-06-01,유나이티드항공,09:45CDG,14:45ICN,+2일,"경유 2, 46시간 00분",성인/KB국민카드,"편도 8,705,600원~"
2023-06-02,베트남항공,13:10CDG,06:40ICN,+2일,"경유 1, 34시간 30분",성인/하나카드,"편도 1,576,600원~"
2023-06-02,베트남항공,13:10CDG,16:25ICN,+1일,"경유 1, 20시간 15분",성인/하나카드,"편도 1,576,600원~"
2023-06-02,베트남항공,14:00CDG,05:50ICN,+2일,"경유 1, 32시간 50분",성인/하나카드,"편도 1,620,000원~"
2023-06-02,베트남항공,14:00CDG,16:35ICN,+1일,"경유 1, 19시간 35분",성인/하나카드,"편도 1,620,000원~"
2023-06-02,루프트한자돌로미티항공 공동운항,09:35ORY,09:55ICN,+1일,"경유 1, 17시간 20분",성인/롯데카드,"편도 1,904,248원~"
2023-06-02,루프트한자,06:45CDG,09:55ICN,+1일,"경유 1, 20시간 10분",성인/롯데카드,"편도 1,905,948원~"
2023-06-02,루프트한자,09:00CDG,09:55ICN,+1일,"경유 1, 17시간 55분",성인/롯데카드,"편도 1,905,948원~"
2023-06-02,루프트한자,12:10CDG,09:55ICN,+1일,"경유 1, 14시간 45분",성인/롯데카드,"편도 1,905,948원~"
2023-06-02,루프트한자,09:35CDG,09:45ICN,+1일,"경유 1, 17시간 10분",성인/롯데카드,"편도 1,915,048원~"
2023-06-02,루프트한자,10:30CDG,09:45ICN,+1일,"경유 1, 16시간 15분",성인/롯데카드,"편도 1,915,048원~"
2023-06-02,루프트한자,11:35CDG,09:45ICN,+1일,"경유 1, 15시간 10분",성인/롯데카드,"편도 1,915,048원~"
2023-06-02,루프트한자,06:05CDG,09:45ICN,+1일,"경유 1, 20시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 1,829,400원~"
