Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-06-01,폴란드항공,11:20ICN,09:55CDG,+1일,"경유 1, 29시간 35분",성인/롯데카드,"편도 2,634,400원~"
2023-06-01,폴란드항공,11:20ICN,22:45CDG,"경유 1, 18시간 25분",,성인/롯데카드,"편도 2,634,400원~"
2023-06-01,폴란드항공,11:20ICN,18:55CDG,+1일,"경유 1, 38시간 35분",성인/롯데카드,"편도 2,634,400원~"
2023-06-01,에티오피아항공,00:25ICN,06:25CDG,+1일,"경유 1, 37시간 00분",성인/KB국민카드,"편도 3,398,800원~"
2023-06-01,타이항공,10:20ICN,07:10CDG,+1일,"경유 1, 27시간 50분",성인/KB국민카드,"편도 3,613,500원~"
2023-06-01,타이항공,17:30ICN,07:10CDG,+1일,"경유 1, 20시간 40분",성인/KB국민카드,"편도 3,613,500원~"
2023-06-01,타이항공,09:35ICN,07:10CDG,+1일,"경유 1, 28시간 35분",성인/KB국민카드,"편도 3,613,500원~"
2023-06-01,루프트한자,11:40ICN,23:25CDG,"경유 1, 18시간 45분",,성인/하나카드,"편도 3,674,700원~"
2023-06-01,루프트한자,11:40ICN,08:15CDG,+1일,"경유 1, 27시간 35분",성인/하나카드,"편도 3,703,700원~"
2023-06-01,루프트한자,11:40ICN,11:25CDG,+1일,"경유 1, 30시간 45분",성인/하나카드,"편도 3,703,700원~"
2023-06-01,여러항공사,11:50ICN,23:05CDG,"경유 1, 18시간 15분",,성인/모든 결제수단,"편도 3,740,200원~"
2023-06-01,여러항공사,11:50ICN,22:15CDG,"경유 1, 17시간 25분",,성인/모든 결제수단,"편도 3,750,200원~"
2023-06-01,루프트한자,11:40ICN,13:50CDG,+1일,"경유 1, 33시간 10분",성인/KB국민카드,"편도 3,837,500원~"
2023-06-01,핀에어,21:40ICN,09:40CDG,+1일,"경유 1, 19시간 00분",성인/삼성 iD PET 카드,"편도 3,842,400원~"
2023-06-01,핀에어,21:40ICN,18:10CDG,+1일,"경유 1, 27시간 30분",성인/삼성 iD PET 카드,"편도 3,842,400원~"
2023-06-01,핀에어,21:40ICN,22:20CDG,+1일,"경유 1, 31시간 40분",성인/우리카드,"편도 3,866,200원~"
2023-06-01,말레이시아항공공동운항 정보확인필요,11:00ICN,13:55CDG,+1일,"경유 2, 33시간 55분",성인/모든 결제수단,"편도 3,957,400원~"
2023-06-01,말레이시아항공공동운항 정보확인필요,11:00ICN,21:15CDG,+1일,"경유 2, 41시간 15분",성인/모든 결제수단,"편도 3,957,400원~"
2023-06-01,말레이시아항공공동운항 정보확인필요,11:00ICN,13:55CDG,+1일,"경유 2, 33시간 55분",성인/모든 결제수단,"편도 3,957,400원~"
2023-06-01,말레이시아항공공동운항 정보확인필요,11:00ICN,07:25CDG,+2일,"경유 2, 51시간 25분",성인/모든 결제수단,"편도 3,962,300원~"
2023-06-01,말레이시아항공공동운항 정보확인필요,11:00ICN,21:15CDG,+1일,"경유 2, 41시간 15분",성인/모든 결제수단,"편도 3,962,300원~"
2023-06-01,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/삼성카드,"편도 3,966,000원~"
2023-06-01,아시아나항공,10:45ICN,18:05CDG,"직항, 14시간 20분",,성인/모든 결제수단,"편도 4,024,800원~"
2023-06-01,여러항공사공동운항 정보확인필요,09:40ICN,21:20CDG,"경유 1, 18시간 40분",,성인/모든 결제수단,"편도 4,079,900원~"
2023-06-01,여러항공사공동운항 정보확인필요,09:40ICN,20:00CDG,"경유 1, 17시간 20분",,성인/모든 결제수단,"편도 4,079,900원~"
2023-06-01,여러항공사공동운항 정보확인필요,09:40ICN,11:10CDG,+1일,"경유 1, 32시간 30분",성인/모든 결제수단,"편도 4,107,500원~"
2023-06-01,여러항공사공동운항 정보확인필요,09:40ICN,08:35CDG,+1일,"경유 1, 29시간 55분",성인/모든 결제수단,"편도 4,107,500원~"
2023-06-01,루프트한자,12:20ICN,22:55CDG,"경유 1, 17시간 35분",,성인/하나카드,"편도 4,627,500원~"
2023-06-01,루프트한자,12:20ICN,21:25CDG,"경유 1, 16시간 05분",,성인/하나카드,"편도 4,627,500원~"
2023-06-01,루프트한자,12:20ICN,08:20CDG,+1일,"경유 1, 27시간 00분",성인/하나카드,"편도 4,655,100원~"
2023-06-01,루프트한자,12:20ICN,18:35CDG,+1일,"경유 1, 37시간 15분",성인/하나카드,"편도 4,655,100원~"
2023-06-01,루프트한자,12:20ICN,13:35CDG,+1일,"경유 1, 32시간 15분",성인/하나카드,"편도 4,655,100원~"
2023-06-01,루프트한자,12:20ICN,09:45CDG,+1일,"경유 1, 28시간 25분",성인/KB국민카드,"편도 4,827,800원~"
2023-06-01,루프트한자,12:20ICN,10:45CDG,+1일,"경유 1, 29시간 25분",성인/KB국민카드,"편도 4,827,800원~"
2023-06-01,네덜란드항공,22:50ICN,07:55CDG,+1일,"경유 1, 16시간 05분",성인/삼성 iD PET 카드,"편도 4,959,500원~"
2023-06-01,네덜란드항공,22:50ICN,08:40CDG,+1일,"경유 1, 16시간 50분",성인/삼성 iD PET 카드,"편도 4,959,500원~"
2023-06-01,중국남방항공네덜란드항공 공동운항,16:45ICN,09:25CDG,+1일,"경유 2, 23시간 40분",성인/모든 결제수단,"편도 4,967,800원~"
2023-06-01,중국남방항공네덜란드항공 공동운항,16:45ICN,13:40CDG,+1일,"경유 2, 27시간 55분",성인/모든 결제수단,"편도 4,967,800원~"
2023-06-01,여러항공사,22:50ICN,20:05CDG,+1일,"경유 1, 28시간 15분",성인/삼성 iD PET 카드,"편도 4,984,300원~"
2023-06-01,여러항공사,22:50ICN,15:50CDG,+1일,"경유 1, 24시간 00분",성인/삼성 iD PET 카드,"편도 4,984,300원~"
2023-06-01,여러항공사네덜란드항공 공동운항,22:50ICN,19:05CDG,+1일,"경유 1, 27시간 15분",성인/삼성카드,"편도 5,066,700원~"
