name,category,rate,price,time
Paris: Eiffel Tower Entry Ticket with Optional Summit Access,Entry ticket with host,"
      4.2
    ","52,602 per person",1.5 hours
Paris: Tootbus Hop-on Hop-off Discovery Bus Tour,Hop-on hop-off tour,"
      4.2
    ","53,715 per person",1 - 3 days
Paris: Montmartre Food Tasting Walking Tour with Secret Dish,Guided tour,0,"157,728 per person",3 hours
Paris: Eiffel Tower Stair Climb to Level 2 w/ Summit Option,Guided tour,"
      3.7
    ","63,194 per person",2 - 2.5 hours
Paris: Eiffel Tower Summit or Second Floor Access,Guided tour,"
      4.3
    ","103,819 per person",1.5 - 2 hours
Paris: 1-Hour River Seine Cruise,Water activity,"
      4.3
    ","24,074 per person",1 hour
Disneyland Paris 1-Day Ticket,Entry ticket,"
      4.5
    ","84,259 per person",1 day
Paris: Louvre Museum Guided Tour with Skip the Line Entrance,Guided tour,"
      4.6
    ","87,268 per person",3 hours
Paris: Sunset and Evening River Cruise with Music & Drinks,Water activity,"
      4.0
    ","30,093 per person",1 hour
Versailles: Skip-the-Line Tour of Palace with Gardens Access,Guided tour,"
      4.7
    ","106,829 per person",1.5 hours
From Paris: Versailles Guided Tour with Skip-the-Line Entry,Guided tour,"
      4.0
    ","156,481 per person",4 - 5 hours
From Paris: Giverny with Monet’s House and Gardens Half-Day,Guided tour,"
      5.0
    ","93,362 per person",5.5 hours
Paris: Eiffel Tower Summit or Second Floor Access,Guided tour,"
      4.4
    ","103,819 per person",1.5 - 2 hours
From Paris: Versailles Skip-the-Line Tour & Gardens Access,Day trip,"
      4.7
    ","156,481 per person",6 - 9.5 hours
From Paris: Day Trip to Champagne with 8 Tastings & Lunch,Day trip,"
      4.8
    ","451,389 per person",10 - 11 hours
Paris: Eiffel Tower Guided Tour by Elevator,Guided tour,"
      4.7
    ","84,259 per person",2 - 3 hours
Paris: Gourmet Dinner Cruise on Seine River with Live Music,Water activity,"
      4.4
    ","133,912 per person",2.5 hours
Paris: Catacombs Skip-the-Ticket-Line Ticket and Audio Guide,Entry ticket,"
      4.5
    ","46,643 per person",1 hour
Paris: Louvre Masterpieces Tour with Pre-Reserved Tickets,Guided tour,"
      4.8
    ","87,268 per person",2 hours
Day Trip to Mont-Saint-Michel from Paris,Day trip,"
      4.4
    ","195,602 per person",14 hours
Paris: Hop-on Hop-off Bus Tour & Seine Cruise Bundle Tour,Bundle,"
      4.3
    ","74,479 per person",1 - 3 days
Paris: Dinner Cruise on the Seine River at 8:30 PM,Water activity,"
      4.6
    ","164,005 per person",2.5 hours
From Paris: Mont Saint Michel Guided Day Trip,Day trip,"
      4.4
    ","194,097 per person",14 hours
From Paris: Giverny Day Trip with Audio Guide or Live Guide,Guided tour,"
      4.2
    ","112,847 per person",5 hours
Paris: Louvre Museum Guided Tour with Tickets,Guided tour,"
      4.1
    ","118,866 per person",1.5 - 2.5 hours
Paris: Louvre Reserved Access and Boat Cruise,Bundle,"
      4.3
    ","52,557 per person",1 day
Paris: Hop-On Hop-Off Bus Tour with Optional Cruise,Hop-on hop-off tour,"
      4.3
    ","60,937 per person",1 - 2 days
From Paris: Palace of Versailles & Gardens w/ Transportation,Entry ticket,"
      4.6
    ","118,866 per person",5.5 - 9.5 hours
Paris: Normandy D-Day Beaches Guided Day Trip with Lunch,Day trip,"
      4.6
    ","239,236 per person",14 hours
Paris: Eiffel Tower Summit Floor Ticket & Seine River Cruise,Bundle,"
      4.4
    ","165,359 per person",3 hours
Paris: Seine River Sightseeing Cruise with 3-Course Dinner,Water activity,"
      4.2
    ","127,893 per person",75 minutes
