name,category,rate,price,time,price_numeric,price_text
Paris: Eiffel Tower Entry Ticket with Optional Summit Access,Entry ticket with host,4.2,"52,602 per person",1.5 hours,52602,per person
Paris: Tootbus Hop-on Hop-off Discovery Bus Tour,Hop-on hop-off tour,4.2,"53,715 per person",1 - 3 days,53715,per person
Paris: Montmartre Food Tasting Walking Tour with Secret Dish,Guided tour,0.0,"157,728 per person",3 hours,157728,per person
Paris: Eiffel Tower Stair Climb to Level 2 w/ Summit Option,Guided tour,3.7,"63,194 per person",2 - 2.5 hours,63194,per person
Paris: Eiffel Tower Summit or Second Floor Access,Guided tour,4.3,"103,819 per person",1.5 - 2 hours,103819,per person
Paris: 1-Hour River Seine Cruise,Water activity,4.3,"24,074 per person",1 hour,24074,per person
Disneyland Paris 1-Day Ticket,Entry ticket,4.5,"84,259 per person",1 day,84259,per person
Paris: Louvre Museum Guided Tour with Skip the Line Entrance,Guided tour,4.6,"87,268 per person",3 hours,87268,per person
Paris: Sunset and Evening River Cruise with Music & Drinks,Water activity,4.0,"30,093 per person",1 hour,30093,per person
Versailles: Skip-the-Line Tour of Palace with Gardens Access,Guided tour,4.7,"106,829 per person",1.5 hours,106829,per person
From Paris: Versailles Guided Tour with Skip-the-Line Entry,Guided tour,4.0,"156,481 per person",4 - 5 hours,156481,per person
From Paris: Giverny with Monet’s House and Gardens Half-Day,Guided tour,5.0,"93,362 per person",5.5 hours,93362,per person
Paris: Eiffel Tower Summit or Second Floor Access,Guided tour,4.4,"103,819 per person",1.5 - 2 hours,103819,per person
From Paris: Versailles Skip-the-Line Tour & Gardens Access,Day trip,4.7,"156,481 per person",6 - 9.5 hours,156481,per person
From Paris: Day Trip to Champagne with 8 Tastings & Lunch,Day trip,4.8,"451,389 per person",10 - 11 hours,451389,per person
Paris: Eiffel Tower Guided Tour by Elevator,Guided tour,4.7,"84,259 per person",2 - 3 hours,84259,per person
Paris: Gourmet Dinner Cruise on Seine River with Live Music,Water activity,4.4,"133,912 per person",2.5 hours,133912,per person
Paris: Catacombs Skip-the-Ticket-Line Ticket and Audio Guide,Entry ticket,4.5,"46,643 per person",1 hour,46643,per person
Paris: Louvre Masterpieces Tour with Pre-Reserved Tickets,Guided tour,4.8,"87,268 per person",2 hours,87268,per person
Day Trip to Mont-Saint-Michel from Paris,Day trip,4.4,"195,602 per person",14 hours,195602,per person
Paris: Hop-on Hop-off Bus Tour & Seine Cruise Bundle Tour,Bundle,4.3,"74,479 per person",1 - 3 days,74479,per person
Paris: Dinner Cruise on the Seine River at 8:30 PM,Water activity,4.6,"164,005 per person",2.5 hours,164005,per person
From Paris: Mont Saint Michel Guided Day Trip,Day trip,4.4,"194,097 per person",14 hours,194097,per person
From Paris: Giverny Day Trip with Audio Guide or Live Guide,Guided tour,4.2,"112,847 per person",5 hours,112847,per person
Paris: Louvre Museum Guided Tour with Tickets,Guided tour,4.1,"118,866 per person",1.5 - 2.5 hours,118866,per person
Paris: Louvre Reserved Access and Boat Cruise,Bundle,4.3,"52,557 per person",1 day,52557,per person
Paris: Hop-On Hop-Off Bus Tour with Optional Cruise,Hop-on hop-off tour,4.3,"60,937 per person",1 - 2 days,60937,per person
From Paris: Palace of Versailles & Gardens w/ Transportation,Entry ticket,4.6,"118,866 per person",5.5 - 9.5 hours,118866,per person
Paris: Normandy D-Day Beaches Guided Day Trip with Lunch,Day trip,4.6,"239,236 per person",14 hours,239236,per person
Paris: Eiffel Tower Summit Floor Ticket & Seine River Cruise,Bundle,4.4,"165,359 per person",3 hours,165359,per person
Paris: Seine River Sightseeing Cruise with 3-Course Dinner,Water activity,4.2,"127,893 per person",75 minutes,127893,per person
Paris: Disneyland® Multi-Day Entry Ticket,Entry ticket,4.6,"213,657 per person",2 - 4 days,213657,per person
Paris: Eiffel Tower Access and Seine River Cruise,Bundle,4.4,"120,370 per person",2.5 hours,120370,per person
Paris: The Louvre Museum and Seine River Cruise,Bundle,4.4,"46,042 per person",1 day,46042,per person
Versailles: Skip-the-Line Guided Palace Tour w/ Gardens,Guided tour,4.4,"93,287 per person",1.5 hours,93287,per person
Paris: Sainte-Chapelle and Conciergerie Combined Tickets,Bundle,4.6,"27,836 per person",1 day,27836,per person
Giverny: Monet’s House and Gardens Skip-the-Line Tour,Guided tour,4.5,"82,755 per person",2 hours,82755,per person
From Paris: Guided Day Trip to Monet's Garden in Giverny,Guided tour,4.7,"165,509 per person",5 hours,165509,per person
Paris: Skip-the-Line Musée d’Orsay Ticket and Guided Tour,Guided tour,4.4,"88,773 per person",2 hours,88773,per person
Fontainebleau & Vaux-le-Vicomte Châteaux Day Tour from Paris,Day trip,4.4,"157,986 per person",9 hours,157986,per person
Paris: Moulin Rouge Cabaret Show Ticket with Champagne,Entry ticket,4.7,"188,079 per person",2 hours,188079,per person
Paris: Versailles Palace and Gardens Full Access Ticket,Entry ticket,4.3,"42,882 per person",1 day,42882,per person
Paris: Skip-the-line in Louvre Museum Guidance to Mona Lisa,Entry ticket,4.1,"58,681 per person",1 day,58681,per person
Paris: Notre Dame Outdoor Walking Tour with Crypt Entry,Guided tour,4.2,"54,167 per person",2 hours,54167,per person
